Locality,filename,PMO,height,area (cm2),convex,concave,shells/cm2,total shells
TOV_2,1m-1,236.406,"1,0","14,23",2,0,"0,1405481377",2
TOV_2,"5,9m-4",unknown,"5,9","12,30",0,5,"0,406504065",5
TOV_2,"5,9m-3",unknown,"5,9","17,39",5,0,"0,2875215641",5
TOV_2,"5,9m-4",unknown,"5,9","12,39",5,0,"0,403551251",5
TOV_2,09m-1,236.422,"9,0","27,30",0,2,"0,07326007326",2
TOV_2,"9,9-2",236.426,"9,9","17,85",5,5,"0,5602240896",10
TOV_2,10m-3,236.429,"10,0","46,01",8,7,"0,3260160835",15
TOV_2,"11,5m-1",236.432,"11,5","13,88",3,5,"0,5763688761",8
TOV_2,"12,5m-1",236.435,"12,5","10,90",1,0,"0,09174311927",1
TOV_2,"12,8m-2",236.438,"12,8","6,90",2,4,"0,8695652174",6
TOV_2,13m-2,unknown,"13,0","17,46",2,2,"0,2290950745",4
TOV_2,"13,0m-05",236.439,"13,0","36,03",5,3,"0,2220371912",8
TOV_2,"13,8-1",236.441,"13,8","26,02",1,6,"0,2690548488",7
TOV_2,"13,8m-2",236.442,"13,8","28,77",3,4,"0,2433090024",7
TOV_2,"14,5-6",236.443,"14,5","16,22",6,5,"0,6781750925",11
TOV_2,"15,2m-2",236.450,"15,2","47,36",6,8,"0,2956081081",14
TOV_2,"15,5m-1",236.452,"15,5","25,53",4,7,"0,4308656483",11
TOV_2,"15,9-2",236.454,"15,9","26,24",6,6,"0,4572334329",12
TOV_2,"16,5m-1",236.456,"16,5","11,94",0,3,"0,2512562814",3
TOV_2,"16,5m-2",236.455,"16,5","6,34",1,0,"0,1577287066",1
TOV_2,"17,3-2",236.458,"17,3","25,43",7,5,"0,471902159",12
TOV_2,"18,1m-1",236.460,"18,1","23,63",3,7,"0,4231908591",10
TOV_2,"18,2m-1",236.461,"18,2","29,26",13,21,"1,161995899",34
TOV_2,19m-2,236.465,"19,0","11,88",5,2,"0,5892255892",7
TOV_2,20m-1,236.466,"20,0","29,18",6,7,"0,4455106237",13
TOV_2,"20,9m-1",236.469,"20,9","20,24",9,12,"1,037549407",21
TOV_2,"25,0m-1",236.473,"25,0","6,59",1,1,"0,3034901366",2
TOV_2,"27,6m-1",236.475,"27,6","48,37",2,5,"0,1447178003",7
TOV_2,"29,5m-1",236.478,"29,5","13,32",2,12,"1,051051051",14
TOV_2,31m-2,236.482,"31,0","20,68",2,4,"0,2901353965",6
TOV_2,"31,9m-1",236.484,"31,9","30,38",5,3,"0,2633224713",8
TOV_2,33m-3,236.486,"33,0","19,90",9,16,"1,256281407",25
TOV_2,34-2,236.489,"34,0","19,30",1,2,"0,1554404145",3
TOV_2,"37,0m-1",236.494,"37,0","11,29",1,0,"0,08857395926",1
